Year,Birth,death_year,death_year_new,death_year_add,death_rate,deaths
2019,3747540.0,0,0,0,0.005574623413085938,20891.124225476076
2018,3791712.0,1,1,0,0.00037690670013427736,1429.121657779541
2017,3855500.0,2,2,0,0.00023219562530517578,895.2302333641053
2016,3945875.0,3,3,0,0.00017871410369873047,705.183513932228
2015,3978497.0,4,4,0,0.00014412253379821779,573.3910683486081
2014,3988076.0,5,5,0,0.00013609033584594728,542.7386022191621
2013,3932181.0,6,6,0,0.00012356203079223632,485.86826980264664
2012,3952841.0,7,7,0,0.00011359611511230469,449.02738125663757
2011,3953590.0,8,8,0,0.00010434925079345703,412.5541544445038
2010,3999386.0,9,9,0,9.669539451599121e-05,386.72220709173206
2009,4131019.0,10,10,0,9.429548263549805e-05,389.5364303814125
2008,4132851.5,11,11,0,0.00010314894676208496,426.29927934910296
2007,4134684.0,12,12,0,0.00013020283699035644,538.3475868586349
2006,4136516.5,13,13,0,0.00017950244903564453,742.5148422263527
2005,4138349.0,14,15,1,0.00032107166290283205,1328.706595102272
2004,4112052.0,15,16,1,0.00039761432647705076,1635.0107864186095
2003,4089950.0,16,17,1,0.00047916675567626955,1959.7680723781586
2002,4021726.0,17,18,1,0.0005639835357666015,2268.1872493644714
2001,4025933.0,18,19,1,0.0006502207946777344,2617.745354579315
2000,4058814.0,19,20,1,0.0007405033111572266,3005.5652063713073
1999,3959417.0,20,21,1,0.0008295818328857422,3284.660412018967
1998,3941553.0,21,22,1,0.0009059593963623046,3570.886976610031
1997,3882000.0,22,24,2,0.0010056493377685546,3903.930729217529
1996,3899000.0,23,25,2,0.001041941680908203,4062.530613861084
1995,3892000.0,24,26,2,0.001079699935913086,4202.19215057373
1994,3979000.0,25,27,2,0.0011203314208984374,4457.798723754882
1993,4039000.0,26,29,3,0.0012237523651123046,4942.735802688599
1992,4084000.0,27,29,2,0.0012237523651123046,4997.804659118652
1991,4111000.0,28,31,3,0.0013416348266601563,5515.460772399902
1990,4179000.0,29,32,3,0.0014026873779296874,5861.830552368164
1989,4021000.0,30,33,3,0.0014636341857910157,5885.2730610656745
1988,3913000.0,31,34,3,0.0015241035461425782,5963.817176055908
1987,3829000.0,32,35,3,0.0015910446166992188,6092.109837341309
1986,3731000.0,33,36,3,0.0016619718933105468,6200.81713394165
1985,3760561.0,34,37,3,0.001727757568359375,6497.3377290271
1984,3669141.0,35,38,3,0.001787183074951172,6557.426694809418
1983,3638933.0,36,40,4,0.0019180708312988282,6979.731244350739
1982,3680537.0,37,41,4,0.002007906036376953,7390.172459408721
1981,3646397.5,38,42,4,0.0021171873474121095,7720.106650635147
1980,3612258.0,39,43,4,0.0022457794189453123,8112.334672320556
1979,3494398.0,40,44,4,0.002390795135498047,8354.389739894104
1978,3333279.0,41,46,5,0.0027353665161132814,9117.739765463562
1977,3326632.0,42,47,5,0.0029328976440429685,9756.67115539795
1976,3167788.0,43,48,5,0.0031515670776367188,9983.496369732666
1975,3144198.0,44,50,6,0.0036642529296875,11521.136733017578
1974,3159958.0,45,51,6,0.003962117309570312,12520.124289315185
1973,3136965.0,46,53,7,0.004732815551757813,14846.676737319947
1972,3258411.0,47,54,7,0.005176470947265625,16867.069875750734
1971,3555970.0,48,55,7,0.0056131329345703125,19960.132321343994
1970,3731386.0,49,56,7,0.006040679321289062,22540.10624994751
1969,3600206.0,50,58,8,0.006967735595703125,25085.283498063964
1968,3501564.0,51,59,8,0.007484305419921875,26206.77442340332
1967,3520959.0,52,60,8,0.00803720703125,28298.67643154297
1966,3606274.0,53,61,8,0.008592920532226562,30988.425899434813
1965,3760358.0,54,62,8,0.009124291381835938,34310.60209201782
